cyclone_number,name,landfall-YYYY-MM-DD,landfall-HH:MM,wind
AL061941,UNNAMED,1941-10-20,18:00,45
AL131944,UNNAMED,1944-10-19,70:0,125
AL011945,UNNAMED,1945-06-24,80:0,85
AL071945,UNNAMED,1945-09-05,0:,35
AL091945,UNNAMED,1945-09-15,19:30,115
AL061946,UNNAMED,1946-10-08,20:0,85
AL071946,UNNAMED,1946-11-01,22:00,40
AL041947,UNNAMED,1947-09-17,16:30,125
AL061947,UNNAMED,1947-09-23,22:00,55
AL071947,UNNAMED,1947-10-07,12:00,50
AL091947,UNNAMED,1947-10-12,60:0,90
AL021948,UNNAMED,1948-07-09,70:0,35
AL081948,UNNAMED,1948-09-21,17:00,115
AL091948,UNNAMED,1948-10-06,0:,110
AL021949,UNNAMED,1949-08-27,0:,115
AL051950,EASY,1950-09-05,17:00,105
AL111950,KING,1950-10-18,50:0,115
AL131950,LOVE,1950-10-21,11:00,70
AL091951,HOW,1951-10-02,10:00,85
AL011952,UNNAMED,1952-02-03,60:0,60
AL011953,ALICE,1953-06-06,17:00,60
AL021953,UNNAMED,1953-07-11,18:00,45
AL051953,UNNAMED,1953-08-29,18:00,35
AL081953,UNNAMED,1953-09-20,18:00,45
AL091953,FLORENCE,1953-09-26,15:00,100
AL121953,HAZEL,1953-10-09,15:00,75
AL021954,UNNAMED,1954-06-18,0:,60
AL071956,FLOSSY,1956-09-25,0:,80
AL111956,UNNAMED,1956-10-15,21:00,55
AL011957,UNNAMED,1957-06-09,30:,65
AL051957,DEBBIE,1957-09-08,17:00,35
AL111958,UNNAMED,1958-05-25,0:,55
AL031959,UNNAMED,1959-06-18,80:0,75
AL111959,JUDITH,1959-10-18,14:00,75
AL031960,BRENDA,1960-07-29,60:0,60
AL051960,DONNA,1960-09-10,70:0,125
AL071960,FLORENCE,1960-09-23,18:00,50
AL011962,ALMA,1962-08-26,18:00,75
AL011964,UNNAMED,1964-06-06,18:00,60
AL051964,CLEO,1964-08-27,80:0,130
AL061964,DORA,1964-09-10,60:0,115
AL101964,HILDA,1964-10-05,60:0,120
AL111964,ISBELL,1964-10-14,21:00,100
AL011965,UNNAMED,1965-06-15,11:00,50
AL031965,BETSY,1965-09-08,11:00,120
AL091965,UNNAMED,1965-10-18,15:00,55
AL011966,ALMA,1966-06-09,21:00,100
AL091966,INEZ,1966-10-04,18:00,140
AL121966,UNNAMED,1966-07-01,22:00,40
AL011968,ABBY,1968-06-04,12:00,65
AL021968,BRENDA,1968-06-18,12:00,70
AL051968,DOLLY,1968-08-10,12:00,75
AL061968,UNNAMED,1968-08-29,18:00,25
AL131968,UNNAMED,1968-09-27,60:0,30
AL141968,GLADYS,1968-10-19,40:0,85
AL161969,GERDA,1969-09-07,0:,105
AL191969,UNNAMED,1969-09-21,18:00,30
AL231969,UNNAMED,1969-10-01,16:00,50
AL241969,JENNY,1969-10-02,21:00,40
AL011970,ALMA,1970-05-25,60:0,65
AL021970,BECKY,1970-07-22,10:00,55
AL071971,UNNAMED,1971-08-13,60:0,25
AL101971,UNNAMED,1971-08-30,60:0,25
AL201971,UNNAMED,1971-10-14,12:00,25
AL011972,ALPHA,1972-05-28,60:0,60
AL021972,AGNES,1972-06-20,0:,75
AL131972,DAWN,1972-09-05,18:00,70
AL131973,UNNAMED,1973-09-26,60:0,25
AL021974,UNNAMED,1974-06-25,12:00,55
AL031976,UNNAMED,1976-06-11,12:00,30
AL081976,DOTTIE,1976-08-19,18:00,45
AL141976,UNNAMED,1976-09-13,12:00,40
AL091979,DAVID,1979-09-03,18:00,150
AL011980,UNNAMED,1980-07-18,60:0,25
AL171980,UNNAMED,1980-11-18,60:0,30
AL071981,UNNAMED,1981-07-02,18:00,30
AL101981,DENNIS,1981-08-17,60:0,70
AL041983,BARRY,1983-08-25,11:00,70
AL011984,UNNAMED,1984-06-14,0:,30
AL151984,ISIDORE,1984-09-27,18:00,50
AL171984,UNNAMED,1984-10-26,18:00,30
AL021985,BOB,1985-07-23,18:00,65
AL131985,KATE,1985-11-21,22:30,105
AL051986,CHARLEY,1986-08-13,12:00,70
AL031987,UNNAMED,1987-08-14,12:00,40
AL131987,FLOYD,1987-10-12,18:00,65
AL141987,UNNAMED,1987-11-04,18:00,30
AL121988,KEITH,1988-11-23,70:0,65
AL141988,UNNAMED,1988-08-14,12:00,30
AL011991,ANA,1991-06-30,60:0,45
AL041992,ANDREW,1992-08-24,84:0,150
AL011994,ALBERTO,1994-07-03,15:00,55
AL031994,BERYL,1994-08-16,0:,50
AL121994,GORDON,1994-11-15,13:00,75
AL011995,ALLISON,1995-06-05,14:00,65
AL051995,ERIN,1995-08-02,60:0,85
AL111995,JERRY,1995-08-23,18:00,35
AL171995,OPAL,1995-10-04,22:00,130
AL101996,JOSEPHINE,1996-10-08,33:0,60
AL051997,DANNY,1997-07-20,12:00,70
AL051998,EARL,1998-09-03,60:0,85
AL071998,GEORGES,1998-09-29,18:00,135
AL131998,MITCH,1998-11-05,12:00,155
AL101999,HARVEY,1999-09-21,17:00,50
AL131999,IRENE,1999-10-15,13:00,95
AL112000,GORDON,2000-09-18,30:0,70
AL122000,HELENE,2000-09-22,12:00,60
AL162000,LESLIE,2000-10-04,12:00,60
AL032001,BARRY,2001-08-06,50:0,60
AL082001,GABRIELLE,2001-09-14,18:00,70
AL052002,EDOUARD,2002-09-05,45:,55
AL122003,HENRI,2003-09-06,90:0,50
AL022004,BONNIE,2004-08-12,14:00,55
AL032004,CHARLEY,2004-08-13,19:45,130
AL062004,FRANCES,2004-09-05,43:0,125
AL092004,IVAN,2004-09-21,60:0,145
AL112004,JEANNE,2004-09-26,40:0,105
AL012005,ARLENE,2005-06-11,19:00,60
AL042005,DENNIS,2005-07-10,19:30,130
AL122005,KATRINA,2005-08-25,22:30,150
AL222005,TAMMY,2005-10-05,23:00,45
AL252005,WILMA,2005-10-24,10:30,160
AL012006,ALBERTO,2006-06-13,16:30,60
AL062006,ERNESTO,2006-08-30,30:0,65
AL022007,BARRY,2007-06-02,14:00,50
AL102007,TEN,2007-09-22,0:,30
AL062008,FAY,2008-08-19,84:5,60
AL042009,CLAUDETTE,2009-08-17,53:0,50
AL112009,IDA,2009-11-10,18:00,90
AL032010,BONNIE,2010-07-23,14:30,40
AL052010,FIVE,2010-08-16,0:,30
AL022012,BERYL,2012-05-28,41:0,60
AL042012,DEBBY,2012-06-26,21:00,55
AL012013,ANDREA,2013-06-06,22:00,55
AL032016,COLIN,2016-06-07,20:0,50
AL092016,HERMINE,2016-09-02,53:0,70
AL112016,JULIA,2016-09-13,60:0,45
AL062017,EMILY,2017-07-31,14:45,50
AL112017,IRMA,2017-09-10,13:00,155
AL012018,ALBERTO,2018-05-28,21:00,55
AL072018,GORDON,2018-09-03,11:15,60
AL142018,MICHAEL,2018-10-10,17:30,140
AL162019,NESTOR,2019-10-19,18:00,50
AL062020,FAY,2020-07-06,60:0,50
AL192020,SALLY,2020-09-12,12:00,95
AL292020,ETA,2020-11-09,40:0,130
AL052021,ELSA,2021-07-07,14:30,75
AL062021,FRED,2021-08-16,19:00,55
AL132021,MINDY,2021-09-09,11:5,50
AL012022,ALEX,2022-06-04,18:00,60
AL092022,IAN,2022-09-28,19:05,140
AL172022,NICOLE,2022-11-10,74:5,65
